SampleID,PCRp_conc ,Sample_type,environment,Genus,Species,Sex,Instar,Primary_ blood_meal,Diet,Country,State,Location,Nest,Sampling_date,Coordinates_North,Cooredinated_West
2CH08A,51,Triatoma,No,Triatoma,gerstaeckeri,ND,2,ND,blood,US,TX,Chaparral,N1,14.07.2017,N28.312719,W99.444114
2CH48A,53,Triatoma,No,Triatoma,gerstaeckeri,ND,1,ND,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
2CH49G,38,Triatoma,No,Triatoma,gerstaeckeri,ND,5,ND,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
411I5,44,Triatoma,No,Triatoma,gerstaeckeri,ND,5,Dasypus,blood,US,TX,LacklandAFB,N41,21.05.2021,N29.37728,W98.68699
413I5,49,Triatoma,No,Triatoma,gerstaeckeri,ND,5,Dasypus,blood,US,TX,LacklandAFB,N41,21.05.2021,N29.37728,W98.68699
41I6F,50,Triatoma,No,Triatoma,gerstaeckeri,F,6,Dasypus,blood,US,TX,LacklandAFB,N41,21.05.2021,N29.37728,W98.68699
41I6M,42,Triatoma,No,Triatoma,gerstaeckeri,M,6,Dasypus,blood,US,TX,LacklandAFB,N41,21.05.2021,N29.37728,W98.68699
2CH06G,24,Triatoma,No,Triatoma,lecticularia,ND,3,ND,blood,US,TX,Chaparral,N1,17.07.2017,N28.312719,W99.444114
2CH07,60,Triatoma,No,Triatoma,lecticularia,ND,3,Neotoma,blood,US,TX,Chaparral,N1,14.07.2017,N28.312719,W99.444114
2CH28,20,Triatoma,No,Triatoma,lecticularia,M,6,Peromyscus,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
2CH39,41,Triatoma,No,Triatoma,lecticularia,ND,5,Neotoma,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
2CH4,6,Triatoma,No,Triatoma,lecticularia,M,6,Neotoma,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
2CH41G,50,Triatoma,No,Triatoma,lecticularia,ND,4,Neotoma,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
2CH42,42,Triatoma,No,Triatoma,lecticularia,ND,4,Neotoma,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
2CH43G,48,Triatoma,No,Triatoma,lecticularia,ND,4,Neotoma,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
2CH44G,40,Triatoma,No,Triatoma,lecticularia,ND,4,Neotoma,blood,US,TX,Chaparral,N1,13.07.2017,N28.312719,W99.444114
