OTU,11NM,12NM,13NM,14NM,15NM,21NM,22NM,23NM,2CH06G,2CH07,2CH08A,2CH28,2CH39,2CH4,2CH41G,2CH42,2CH43G,2CH44G,2CH45G,2CH46A,2CH48A,2CH49G,2CH51G,31NM,32NM,33NM,34NM,411I5,412I6M,413I5,41I6F,41I6M,41NM,41TMTi2,41TMTi3,41TMTi4,41TMTi5,41TMTi6,41TMTi7,41TMTi8,41TMTi9,42NM,43NM,58MetOH,65etM,7083etOH,A2AS3A,A2AS3B,A2AS3C,AS6165A,AS6165B,AS6165C,AS6165D,AS6165E,AS6165F,AS6165G,Blank2,Blank21,CH2T1,CH2T10,CH2T11,CH2T12,CH2T4,CH2T5,CH2T7,CH2T8,CH2T9,CH2TD13,CH2TD14,CH2TD15,CH2TD19,CH2TD20,CH2TD21,CH2TD22,CH2TD23,DS15i3A,DS15i3B,DS15i3C,DS15i4A,DS15i4B,DS15i6,DS15Ti1,DS15Ti2,DS15Ti3,DS15Ti4,DS15Ti5,DS15Ti6,DS15Ti7,DS15Ti8,DS16i2A,DS16i2B,DS16i2C,DS16i2D,DS16i5,DS16i5A,DS16i5B,DS16i6A,DS16i6F,DS16i6M,DS16Ti1,DS16Ti10,DS16Ti11,DS16Ti12,DS16Ti2,DS16Ti3,DS16Ti4,DS16Ti5,DS16Ti6,DS16Ti7,DS18AS3A,DS18AS3B,DS18AS3C,DS18i2A,DS18i2B,DS18M3A,DS18M3B,DS18M3C,DS18Ti1,DS18Ti2,DS18Ti3,DS7AS2A,DS7AS2B,DS7I3A,DS7I3B,DS7I3C,DS7I3D,DS7I3E,DS7M17A,DS7M17B,DS7M17C,DS7M17D,DS7M17E,DS7T3Ti1,DS7T3Ti2,DS7T3Ti3,FLTS115,FLTS116,FLTS117,FLTS118,FLTS119,LC1A,LC2A,LC2B,LC2C,LC2D,LC2E,LC32i5A1,LC33i2A3,LC33i2B3,LC33i2C3,LC34i5A1,LC35i5A3,LC36i4A1,LC4A,LC4B,LC4C,LC5A,LC5B,LC5C,LC6A,LC6B,LC6C,M1E,MCE,MCE1,MCS,MCS1,MLF61,NK,NK1,NK11,NK2,NK3,P1A,P1B,P1C,P1E2,PC1,PC2,PC3,PC31,S1I5ASA,S1I5ASB,S1I5ASC,S1I5ASD,S1I5ASE,S1I5ASF,S1I5ASG,TU10Ti1,TU10Ti11,TU10Ti12,TU10Ti2,TU10Ti3,TU10Ti4,TU10Ti6,TU10Ti8,TU2Ti1,TU2Ti2,TU2Ti3,TU2Ti4,TU2Ti5,TU2Ti6,TU2Ti7,TU2Ti8,TU31i6A2,TU32i6A2,TU33i6A1,TU35i5A1,TU36i4A3,TU36i4B3,TU40i3A3,TU40i3B3,TU41i3A2,TU41i3B2,TU43i2A1,TU47i4A3,TU48i4A1,TU49i4A2,TU49i4B1,TU50i3A3,TU50i3B3,TU50i3C3,TU51i2A2,TU52i6A3,TU53i6A0,TU54i4A3,TU54i4B2,TU55i4A1,TU55i4B1,TU55i4C1,TU55i4D1,TU56i3A3,TU56i3B3,TU56i3C3,TU58i3A1,TU59i3A3,TU5Ti1,TU5Ti2,TU5Ti3,TU5Ti4,TU5Ti5,TU5Ti6,TU5Ti7,TU5Ti8,TU64i4A2,TU65i3A2,TU67i3A2,TU68i2A2,TU68i2B2,TU68i2C2,TU68i2D2,TU6Ti1,TU6Ti2,TU6Ti3,TU6Ti4,TU76A,TU76B,TU77A,TU77B,TU7Ti2,TU7Ti3,TU7Ti4,TU82A,TU82B,TU83B,TU83C,TU9Ti1,TU9Ti2,TU9Ti3,TU9Ti4
OTU_1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,46,0,0,2,0,0,0,0,0,0,0,0,0,0,1855,9,36,46,235,402,1955,46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1491,5279,2164,4164,4104,2091,8051,3094,9762,2819,815,1151,4687,357,5789,794,5301,1,0,0,0,0,0,12625,16450,5234,3082,1983,3431,10132,5811,0,0,0,0,0,0,0,0,0,0,5,1071,3777,9136,456,9577,10324,15,5461,2,0,0,0,0,0,0,0,0,7717,4333,9781,0,0,0,0,0,0,0,0,0,0,0,0,6609,4427,134,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,134,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3225,8,224,311,523,263,232,1033,2307,123,3015,2667,114,21,5151,3365,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,589,1227,8625,216,131,181,53,471,0,1,0,0,0,0,0,8149,1523,105,171,0,0,0,0,443,169,2151,0,0,0,0,13006,7505,2627,1641
OTU_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3466,46445,4505,44804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
OTU_3,0,2,0,1,0,2,4,11,20,227,18,88,2015,3118,0,10332,51,53,69,81,19,28,19,27,0,0,0,6,44,10,15,94,1,0,2,29,22,16,13,30,0,0,0,49,0,30,239,19,9,35,94,8,21,153,19,1,412,2156,31,17,108,44,43,63,30,19,24,22,56,15,4,189,35,9,7,63,116,112,86,57,26,8,2,27,14,12,6,13,13,32,6,6,32,28,37,32,3,9,643,27,27,7,13,150,7,10,36,9,45,20,39,8,47,18,6672,72,56,14,205,32,92,76,70,2994,94,135,203,227,287,178,55,159,165,18,165,11,20,1,6,14,97,122,122,120,66,72,1514,1220,716,658,160,396,324,65,85,85,55,109,639,19,44,77,0,1017,4323,8193,33708,2,0,0,134,2,32,0,0,0,16,3643,0,4435,0,2,0,0,39,7,5,0,10,19,0,14,9,7,4,99,133,29,14,14,23,71,156,42,295,44,0,11,33,8,4,16,43,28,30,0,9,25,25,8,29,10,22,0,6,13,37,218,165,102,83,3971,1287,16,22,25,28,27,37,41,92,297,303,95,37,12,57,17,78,281,116,79,74,47,139,43,64,30,34,4,49,3,106,11,45,58,5,5,48,239
OTU_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,16,49,0,0,0,0,10,1,1,16,6,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22410,18722,15224,2044,13719,18846,9637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_5,0,0,0,0,0,0,0,0,0,7,5,303,17,2965,0,6,47,4,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,3,2,4,2,6,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,1,0,0,1,0,0,0,4,1,15,8,2,0,4,2,3,0,0,0,0,1,0,0,0,0,4,1,4,0,0,100,0,0,0,4,1,0,2,0,1,0,0,0,3601,0,0,2,0,0,0,0,0,0,0,4,1,0,0,10,3,1,0,0,0,9,0,6,0,0,0,13,2,18,8,10,14,5,26,2,1,0,6,0,3,4,8,17,0,726,36,61,4,0,8,0,533,1778,6,24,0,0,0,68,0,50,1,0,0,0,2016,0,2734,0,0,0,0,0,0,0,0,0,0,11,1,0,2,2,0,0,3,0,0,0,0,14,40,19,6,15,0,0,0,0,0,2,0,0,4,0,6,1,1,2,2,5,698,9,0,0,12,0,7,0,2,0,1,0,1,0,0,1,0,0,3,0,0,2,8,5,0,0,0,8,1,0,1,0,7,8,2,50,1,0,0,4,1,0,5,1,0,4,10
OTU_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14353,545,44006,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU_7,0,0,0,0,0,0,0,0,0,0,0,384,0,36,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1999,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,27,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,4519,1,5548,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1576,5863,543,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4286,6422,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,9,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73,0,0,0,0,0,0,0,1,0,0,24609,5,0,0,0,43,8,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2359,32,4767,209,9284,102,1976,33,28641,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,49,32,24,33,1,0,0,0,1050,11,0,0,0,0,0,0,0,0,0,1,2,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,2,2,1,5,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
OTU_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6082,1601,9746,453,306,1325,7330,2575,1,8462,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,1,0,0,2098,0,0,0,0,0,0,0,0,0,0,0,0,26,6937,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,8,0,788,0,0,0,2,0,0,0,0,0,0,0,0,16,136,0,0,0,0,0,0,1,0,1,0,65,0,0,0,0,0,0,0,0,11,0,0,0,160,344,315,3,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,404,2,0,0,2,1,6,0,265,2,0,0,14,18,26,0,0,0,1614,1523,2796,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2394,0,0,1073,2301,6095,2,0,0,0,0,0,0,0,487,224,0,0,0,0,0,1,0,0,0,0,0,0,0,68,0,68,640
